NO,회사명,공고명,지역,상세보기 페이지
43,제너레잇(주),Python Algorithm Engineer 파이썬 개발자 경력자,서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53737362&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
44,(주)바능,파이썬 개발자 구인(13~15년),경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53685998&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
45,(주)바능,파이썬 개발자 구인(6~9년),경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53685457&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
46,(주)바능,파이썬 개발자 구인(10~12년),경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53685968&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
47,(주)바능,[ 정규직 ] 파이썬 개발자 구인,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53649317&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
48,(주)바능,[프리랜서 - 중급 / 고급] 파이썬 개발자 구인,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53721139&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
49,한스컨설팅,"코스닥 상장, 삼성동 위치 특수합금제조사 파이썬 개발자 대리급",서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53796907&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
50,주식회사 윈어시,파이썬 개발자 모집 (코인 트레이딩 가능자 우대),서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53496785&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
51,포커스원,"파이썬, 자바스크립트 프로그램 제작 개발자 채용합니다",서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53789112&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
52,스타트업코드,"파이썬, 알고리즘 강사 모집",서울 동대문구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53789747&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
53,플러거,프타 솔루션 JAVA / DBA / TA / AA / PYTHON Recruitment,서울 구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53849084&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
54,(주)이수시스템,[이수그룹 IT계열사] Python 개발자 채용,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53846395&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
55,(주)이에스티소프트,"축전지제조기업 / PYTHON, java / 증미역",서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53848726&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
56,(주)알고리즘랩스,Python Backend 개발자 채용,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53719407&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
57,(주)알고리즘랩스,Python Backend 개발자 채용(대전 연구소),대전 중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53831012&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
58,(주)코레이즈홀딩스,"[코레이즈]  Python (Flask) 웹 개발자 채용 (신입, 보충역)",서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53835293&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=848b1015-cb96-48a9-b4cb-a1879ef717f2
